Reporting Date,Equity,Debt,Hybrid
27-10-2020,110.79,3.6,-5.76
26-10-2020,1070.94,1752.1,-5.26
23-10-2020,1225.46,507.65,-7.41
22-10-2020,2114.58,-144.12,-10.83
21-10-2020,1831.24,732.26,-11.07
20-10-2020,1990.63,112.46,-4.94
19-10-2020,-8.54,1809.03,-12.09
16-10-2020,-293.08,458.07,-45.04
15-10-2020,1149.13,-1291.84,-5.28
14-10-2020,1876.03,231.85,-10.71
13-10-2020,1766.32,736.14,-4.9
12-10-2020,-1254.66,3114.91,-25.51
09-10-2020,1225.82,-154.32,-8.21
08-10-2020,1019.93,-592.86,-11.4
07-10-2020,1061.4,-316.43,-7.0
06-10-2020,340.97,-398.55,-7.87
05-10-2020,1862.02,-1670.27,-4.23
01-10-2020,-265.28,-1026.65,-8.37
30-09-2020,-1065.93,-49.82,-12.59
29-09-2020,524.25,334.02,-2.51
28-09-2020,-3225.11,539.64,-3.19
25-09-2020,-1665.57,-25.13,-10.32
24-09-2020,-3882.05,216.76,-12.39
23-09-2020,-1774.79,-193.41,-1.13
22-09-2020,-283.4,996.99,-0.01
21-09-2020,1823.94,366.46,-50.1
18-09-2020,-131.25,-267.72,-20.11
17-09-2020,495.4,532.41,-11.69
16-09-2020,1854.56,895.71,-9.52
15-09-2020,600.01,-63.68,-25.88
14-09-2020,2457.77,-390.27,-5.74
11-09-2020,920.16,-57.55,-10.6
10-09-2020,-959.98,927.67,-12.28
09-09-2020,-157.14,164.1,-24.69
08-09-2020,169.2,-188.13,-35.99
07-09-2020,-2807.31,850.68,-17.87
04-09-2020,-118.88,626.78,13.03
03-09-2020,1227.71,-525.42,-5.16
02-09-2020,573.82,-196.5,-1.7
01-09-2020,-2357.94,-129.71,2482.71
31-08-2020,477.2,-1279.83,-6.25
28-08-2020,1432.59,-1313.22,-1.64
27-08-2020,1654.09,761.94,31.9
26-08-2020,1753.67,-800.34,-7.66
25-08-2020,1062.24,96.62,-6.69
24-08-2020,437.77,918.41,-10.38
21-08-2020,-161.28,-996.54,-8.58
20-08-2020,1098.76,834.17,-11.68
19-08-2020,1051.25,-184.95,-0.36
18-08-2020,12314.07,-172.36,15.37
17-08-2020,-187.73,-467.58,320.2
14-08-2020,496.92,857.46,-14.89
13-08-2020,3458.56,-407.75,-13.28
12-08-2020,11771.23,587.8,0.84
11-08-2020,1272.32,-296.84,7.52
10-08-2020,1306.48,829.74,75.79
07-08-2020,575.83,424.22,2.81
06-08-2020,-218.86,-130.62,215.12
05-08-2020,875.78,104.52,2761.06
04-08-2020,7524.13,-263.93,-0.61
03-08-2020,-915.37,350.97,-1.18
31-07-2020,1421.61,-762.79,0.37
30-07-2020,-290.87,-360.16,1.45
29-07-2020,183.28,-556.63,8.42
28-07-2020,39.45,-2.89,41.03
27-07-2020,3872.89,-157.45,14.54
24-07-2020,2114.35,1746.95,4.43
23-07-2020,1739.42,-298.26,1.77
22-07-2020,2090.21,-1511.54,-2.17
21-07-2020,1647.79,348.49,-2.19
20-07-2020,802.31,249.83,-0.64
17-07-2020,-1202.38,-865.77,3.9
16-07-2020,-34.97,-2792.36,-15.92
15-07-2020,-1591.57,828.11,-20.25
14-07-2020,-84.07,9.13,-1.58
13-07-2020,-934.29,519.55,-2.32
10-07-2020,3377.31,-1713.29,-15.14
09-07-2020,-1059.46,-64.03,2.03
08-07-2020,-1665.82,189.1,-1.93
07-07-2020,475.99,833.8,-1.59
06-07-2020,620.73,-120.42,0.3
03-07-2020,-331.25,-207.1,-11.29
02-07-2020,-1685.16,323.09,-0.38
01-07-2020,-1942.79,102.66,-2.13
30-06-2020,-103.91,1026.89,8.29
29-06-2020,-957.86,2851.79,-4.08
26-06-2020,-520.88,-109.78,2.09
25-06-2020,1090.41,110.68,1899.92
24-06-2020,129.55,350.96,-6.57
23-06-2020,430.81,125.57,-6.59
22-06-2020,1236.67,433.3,1.86
19-06-2020,556.61,-47.83,2.97
18-06-2020,777.02,227.14,6.9
17-06-2020,-1479.14,-515.68,0.96
16-06-2020,-2662.97,-140.77,3.29
15-06-2020,494.9,173.74,2.49
12-06-2020,857.81,758.42,5.36
11-06-2020,-370.57,122.48,8.66
10-06-2020,476.7,-477.34,3.54
09-06-2020,1052.84,-55.71,-0.2
08-06-2020,9.5,-387.47,3.21
05-06-2020,2624.19,-548.44,11.94
04-06-2020,2161.97,-959.53,2.31
03-06-2020,7890.19,191.76,5.22
02-06-2020,6933.09,-188.79,0.64
01-06-2020,1204.69,-720.64,4.85
29-05-2020,1996.32,-290.74,0.1
28-05-2020,-168.44,-2370.45,4.79
27-05-2020,4782.19,310.08,1.51
26-05-2020,-1130.57,-1217.82,1.72
22-05-2020,-206.21,323.25,1.96
21-05-2020,-1700.19,210.41,-2.64
20-05-2020,-1334.16,-929.37,2.06
19-05-2020,-2522.53,-581.02,0.78
18-05-2020,-2510.58,965.61,-2.89
15-05-2020,-2368.71,-5581.8,-1.77
14-05-2020,131.05,-510.26,-1.26
13-05-2020,-1839.13,-4224.91,-2.23
12-05-2020,648.97,-3076.76,3.05
11-05-2020,2153.56,-2263.99,5.43
08-05-2020,17122.71,-100.83,-2.33
06-05-2020,-323.86,-63.88,-0.98
05-05-2020,-934.3,-244.26,3.63
04-05-2020,2772.65,-2288.63,-0.18
30-04-2020,785.3,-4033.15,10.45
29-04-2020,49.21,-674.1,1.04
28-04-2020,-770.63,546.89,3.39
27-04-2020,-125.6,-833.92,1.08
24-04-2020,482.54,638.97,-2.53
23-04-2020,-791.23,3552.53,1.1
22-04-2020,-1830.85,199.24,2.36
21-04-2020,93.02,1541.85,12.41
20-04-2020,-967.03,-615.38,-3.68
17-04-2020,-2590.75,-1199.12,6.07
16-04-2020,909.32,143.38,11.84
15-04-2020,-1062.7,-165.74,-0.04
13-04-2020,1886.96,-1468.96,11.56
09-04-2020,2082.02,-2063.85,3.55
08-04-2020,1016.66,-1113.92,1.04
07-04-2020,-2248.2,-40.76,499.33
03-04-2020,-3801.61,-2933.11,-14.79
31-03-2020,-3624.66,-1801.95,-1.67
30-03-2020,1029.38,-1598.21,-0.95
27-03-2020,10.98,-1250.52,-1.96
26-03-2020,-3788.54,-570.3,-5.98
24-03-2020,-2640.13,-1548.19,1.05
23-03-2020,-3453.27,-3470.26,-2.87
20-03-2020,-4581.68,-5567.13,-22.84
19-03-2020,-5044.64,-1089.31,-7.64
18-03-2020,-3662.96,-8196.17,-6.49
17-03-2020,-4699.85,-11441.59,21.05
16-03-2020,-6741.02,-6477.87,-12.22
13-03-2020,-1802.06,-2988.79,0.12
12-03-2020,-3483.72,-7950.4,3.49
11-03-2020,-7012.27,2038.96,-1.92
09-03-2020,-3480.85,-139.65,0.2
06-03-2020,-2237.68,307.08,13.67
05-03-2020,-789.43,1429.42,2.39
04-03-2020,-2328.89,-1485.67,-6.6
03-03-2020,-300.61,-2213.27,3.55
02-03-2020,-3340.85,-2197.22,6.34
28-02-2020,-3064.85,-1835.06,0.71
27-02-2020,-3132.32,-1819.99,1913.77
26-02-2020,-1838.21,342.74,1.79
25-02-2020,-1735.67,-3187.1,484.01
24-02-2020,840.85,-1117.71,-2.35
20-02-2020,1293.17,-3081.99,4.49
18-02-2020,173.32,-78.41,2.32
17-02-2020,-1142.05,1321.16,3.91
14-02-2020,662.9,3539.72,4.63
13-02-2020,-663.01,-1273.78,-2.96
12-02-2020,2157.43,354.19,3.6
11-02-2020,-502.85,1542.71,-0.39
10-02-2020,9943.68,3677.53,1.29
07-02-2020,-100.98,5775.82,1.5
06-02-2020,530.45,3827.12,1.83
05-02-2020,922.96,-3345.14,-0.94
04-02-2020,1850.57,203.15,-0.37
03-02-2020,-4375.56,-110.95,-0.46
31-01-2020,625.92,1434.25,-0.1
30-01-2020,-1442.25,293.5,0.02
29-01-2020,-785.91,-1300.89,0.86
28-01-2020,-174.25,-673.02,-0.99
27-01-2020,595.42,807.29,-3.85
24-01-2020,1497.17,295.19,-3.18
23-01-2020,28.75,947.09,0.63
22-01-2020,1696.53,-1018.65,2.74
21-01-2020,1301.46,118.12,0.6
20-01-2020,-1420.64,-3110.26,-0.3
17-01-2020,9731.96,193.3,-12.5
16-01-2020,63.28,-834.38,-10.18
15-01-2020,-331.14,430.51,-7.99
14-01-2020,120.79,-1135.43,-1.56
13-01-2020,658.56,-111.58,-1.97
10-01-2020,156.51,45.98,-1.36
09-01-2020,-344.75,-262.59,-1.54
08-01-2020,-612.9,-587.42,-1.17
07-01-2020,-18.99,-3457.04,0.06
06-01-2020,1301.97,-1299.11,-0.06
03-01-2020,1088.24,-1348.83,1.75
02-01-2020,359.03,-1.45,2.43
01-01-2020,-1972.18,-543.38,-8.63
31-12-2019,278.71,-1119.22,0.42
30-12-2019,757.73,191.91,-0.78
27-12-2019,131.48,2468.38,-0.93
26-12-2019,-11.07,-15.68,-0.34
24-12-2019,2242.34,728.53,-1.03
23-12-2019,472.32,-3200.44,-1.26
20-12-2019,836.43,-1454.13,-0.42
19-12-2019,1852.6,458.16,-0.47
18-12-2019,1212.97,-615.31,1.82
17-12-2019,869.61,290.23,0.48
16-12-2019,117.49,-1512.14,-1.73
13-12-2019,-614.96,609.45,-0.74
12-12-2019,384.09,555.51,-0.35
11-12-2019,-181.93,-3942.3,-0.76
10-12-2019,733.37,43.57,-0.42
09-12-2019,-73.96,472.63,5.82
06-12-2019,437.41,-43.82,4.39
05-12-2019,195.45,47.26,-8.39
04-12-2019,-102.82,1200.73,6.09
03-12-2019,-1447.71,29.46,31.1
02-12-2019,-751.15,190.97,7.74
29-11-2019,1627.69,-1864.78,-1.82
28-11-2019,-1053.51,506.59,-10.2
27-11-2019,4515.33,-1219.03,3.75
26-11-2019,1986.63,-364.71,-0.04
25-11-2019,606.94,408.45,39.61
22-11-2019,5006.08,-322.5,-51.59
21-11-2019,427.96,-2430.22,56.43
20-11-2019,-626.39,-371.01,16.15
19-11-2019,-528.86,-898.09,23.96
18-11-2019,-1166.87,-570.09,2.23
15-11-2019,-431.03,-102.78,0.3
14-11-2019,1518.87,-977.62,12.97
13-11-2019,1579.98,343.36,19.25
11-11-2019,5334.01,-169.65,-3.15
08-11-2019,894.84,-1041.71,6.32
07-11-2019,1261.87,2743.8,-2.26
06-11-2019,398.99,221.69,0.19
05-11-2019,81.1,1037.86,3.71
04-11-2019,1807.16,1655.67,7.73
01-11-2019,1989.84,1056.56,2.72
31-10-2019,7594.51,478.18,5.81
30-10-2019,1519.6,2017.63,13.77
29-10-2019,-407.93,1434.72,3.0
25-10-2019,-193.38,-383.13,-0.17
24-10-2019,-149.07,-617.57,2.88
23-10-2019,-1073.9,318.36,0.32
22-10-2019,107.75,319.32,1.24
18-10-2019,1274.38,283.72,-5.46
17-10-2019,896.62,384.51,4.75
16-10-2019,2169.56,-448.1,-2.29
15-10-2019,6153.26,-56.65,2.2
14-10-2019,-568.12,1200.54,3.89
11-10-2019,-79.82,-794.26,-1.88
10-10-2019,-683.02,-620.35,-3.47
09-10-2019,-367.74,357.49,-2.61
07-10-2019,-877.54,772.52,4.6
04-10-2019,-1111.87,-86.7,4.7
03-10-2019,-1536.48,-561.24,-0.57
01-10-2019,-298.82,-329.38,0.37
30-09-2019,-302.0,-854.46,5.31
27-09-2019,11130.33,-1458.1,-0.45
26-09-2019,-352.32,73.42,-0.37
25-09-2019,-747.05,-188.87,5.29
24-09-2019,2804.28,-432.38,1.52
23-09-2019,592.64,485.53,-2.78
20-09-2019,-744.78,292.19,1.08
19-09-2019,-932.23,101.91,-0.76
18-09-2019,-680.61,-395.36,0.17
17-09-2019,-792.26,-2135.81,6.12
16-09-2019,-397.09,-350.31,4.07
13-09-2019,2609.4,96.38,1.67
12-09-2019,577.59,-140.73,0.78
11-09-2019,297.8,271.88,4.51
09-09-2019,-1252.02,643.8,3.34
06-09-2019,-415.56,745.86,-6.68
05-09-2019,-1260.07,-177.83,-0.23
04-09-2019,-3162.98,1839.71,-1.1
03-09-2019,574.82,593.12,3.09
30-08-2019,-627.22,735.62,0.31
29-08-2019,-1264.45,113.51,-24.69
28-08-2019,-1060.2,2573.95,-1.11
27-08-2019,-706.28,324.91,0.3
26-08-2019,-1828.8,-1166.34,-1.1
23-08-2019,-1289.92,2602.47,1.35
22-08-2019,-1044.33,399.24,-0.5
21-08-2019,-408.25,1896.66,1.89
20-08-2019,-265.04,1530.02,53.41
19-08-2019,1318.46,565.84,-0.89
16-08-2019,2024.82,460.91,5.74
14-08-2019,-560.13,-385.02,1.59
13-08-2019,-746.34,82.95,-13.07
09-08-2019,-1065.59,511.83,-1.24
08-08-2019,-511.78,1087.46,-0.73
07-08-2019,-1864.18,-311.22,-0.53
06-08-2019,-2170.96,-105.78,-0.16
05-08-2019,-2889.51,1003.77,5.53
02-08-2019,-1166.87,-1099.07,3.19
01-08-2019,-1465.71,850.55,19.26
31-07-2019,-675.36,254.21,-1.26
30-07-2019,-373.93,-120.41,-0.98
29-07-2019,3013.15,-1325.1,0.22
26-07-2019,535.1,33.01,2.77
25-07-2019,-1446.8,959.45,-0.59
24-07-2019,-2745.72,62.56,-5.5
23-07-2019,-1929.23,-529.41,0.75
22-07-2019,-1083.82,727.42,6.32
19-07-2019,-1401.54,-1014.8,0.71
18-07-2019,-85.86,-608.63,-0.72
17-07-2019,-358.48,788.17,-0.86
16-07-2019,-189.95,1049.06,-5.91
15-07-2019,-722.52,652.54,-15.46
12-07-2019,-176.81,600.96,-6.41
11-07-2019,-459.66,-515.02,5.02
10-07-2019,-876.83,1876.04,-3.1
09-07-2019,-329.85,1329.57,-1.26
08-07-2019,599.59,1978.58,-3.95
05-07-2019,555.96,303.52,4.38
04-07-2019,-1281.19,-733.41,1.14
03-07-2019,-1553.11,1275.27,5.93
02-07-2019,-863.03,523.64,1.08
01-07-2019,-568.84,1865.63,0.35
28-06-2019,45.92,-1318.26,209.37
27-06-2019,200.0,525.41,1648.82
26-06-2019,2419.91,-1212.47,335.15
